1,12CS54,1,This is Question number 1,1,CO-1,LO-1,0
2,12CS54,1,This is Question number 2,1,CO-1,LO-2,0
3,12CS54,1,This is Question number 3,1,CO-1,LO-3,0
4,12CS54,1,This is Question number 4,1,CO-1,LO-4,0
5,12CS54,1,This is Question number 5,1,CO-2,LO-1,0
6,12CS54,1,This is Question number 6,1,CO-2,LO-2,0
7,12CS54,1,This is Question number 7,1,CO-2,LO-3,0
8,12CS54,1,This is Question number 8,1,CO-2,LO-4,0
9,12CS54,1,This is Question number 9,1,CO-3,LO-1,0
10,12CS54,1,This is Question number 10,1,CO-3,LO-2,0
11,12CS54,1,This is Question number 11,1,CO-3,LO-3,0
12,12CS54,1,This is Question number 12,1,CO-3,LO-4,0
13,12CS54,1,This is Question number 13,1,CO-4,LO-1,0
14,12CS54,1,This is Question number 14,1,CO-4,LO-2,0
15,12CS54,1,This is Question number 15,1,CO-4,LO-3,0
16,12CS54,1,This is Question number 16,1,CO-4,LO-4,0
17,12CS54,1,This is Question number 17,2,CO-1,LO-1,0
18,12CS54,1,This is Question number 18,2,CO-1,LO-2,0
19,12CS54,1,This is Question number 19,2,CO-1,LO-3,0
20,12CS54,1,This is Question number 20,2,CO-1,LO-4,0
21,12CS54,1,This is Question number 21,2,CO-2,LO-1,0
22,12CS54,1,This is Question number 22,2,CO-2,LO-2,0
23,12CS54,1,This is Question number 23,2,CO-2,LO-3,0
24,12CS54,1,This is Question number 24,2,CO-2,LO-4,0
25,12CS54,1,This is Question number 25,2,CO-3,LO-1,0
26,12CS54,1,This is Question number 26,2,CO-3,LO-2,0
27,12CS54,1,This is Question number 27,2,CO-3,LO-3,0
28,12CS54,1,This is Question number 28,2,CO-3,LO-4,0
29,12CS54,1,This is Question number 29,2,CO-4,LO-1,0
30,12CS54,1,This is Question number 30,2,CO-4,LO-2,0
31,12CS54,1,This is Question number 31,2,CO-4,LO-3,0
32,12CS54,1,This is Question number 32,2,CO-4,LO-4,0
33,12CS54,1,This is Question number 33,3,CO-1,LO-1,0
34,12CS54,1,This is Question number 34,3,CO-1,LO-2,0
35,12CS54,1,This is Question number 35,3,CO-1,LO-3,0
36,12CS54,1,This is Question number 36,3,CO-1,LO-4,0
37,12CS54,1,This is Question number 37,3,CO-2,LO-1,0
38,12CS54,1,This is Question number 38,3,CO-2,LO-2,0
39,12CS54,1,This is Question number 39,3,CO-2,LO-3,0
40,12CS54,1,This is Question number 40,3,CO-2,LO-4,0
41,12CS54,1,This is Question number 41,3,CO-3,LO-1,0
42,12CS54,1,This is Question number 42,3,CO-3,LO-2,0
43,12CS54,1,This is Question number 43,3,CO-3,LO-3,0
44,12CS54,1,This is Question number 44,3,CO-3,LO-4,0
45,12CS54,1,This is Question number 45,3,CO-4,LO-1,0
46,12CS54,1,This is Question number 46,3,CO-4,LO-2,0
47,12CS54,1,This is Question number 47,3,CO-4,LO-3,0
48,12CS54,1,This is Question number 48,3,CO-4,LO-4,0
49,12CS54,1,This is Question number 49,4,CO-1,LO-1,0
50,12CS54,1,This is Question number 50,4,CO-1,LO-2,0
51,12CS54,1,This is Question number 51,4,CO-1,LO-3,0
52,12CS54,1,This is Question number 52,4,CO-1,LO-4,0
53,12CS54,1,This is Question number 53,4,CO-2,LO-1,0
54,12CS54,1,This is Question number 54,4,CO-2,LO-2,0
55,12CS54,1,This is Question number 55,4,CO-2,LO-3,0
56,12CS54,1,This is Question number 56,4,CO-2,LO-4,0
57,12CS54,1,This is Question number 57,4,CO-3,LO-1,0
58,12CS54,1,This is Question number 58,4,CO-3,LO-2,0
59,12CS54,1,This is Question number 59,4,CO-3,LO-3,0
60,12CS54,1,This is Question number 60,4,CO-3,LO-4,0
61,12CS54,1,This is Question number 61,4,CO-4,LO-1,0
