1,12CS54,1,Why 1,1,CO-1,LO-1,0
2,12CS54,1,Why 2,1,CO-1,LO-2,0
3,12CS54,1,Why 3,1,CO-1,LO-3,0
4,12CS54,1,Why 4,1,CO-1,LO-4,0
5,12CS54,1,Why 5,1,CO-2,LO-1,0
6,12CS54,1,Why 6,1,CO-2,LO-2,0
7,12CS54,1,Why 7,1,CO-2,LO-3,0
8,12CS54,1,Why 8,1,CO-2,LO-4,0
9,12CS54,1,Why 9,1,CO-3,LO-1,0
10,12CS54,1,Why 10,1,CO-3,LO-2,0
11,12CS54,1,Why 11,1,CO-3,LO-3,0
12,12CS54,1,Why 12,1,CO-3,LO-4,0
13,12CS54,1,Why 13,1,CO-4,LO-1,0
14,12CS54,1,Why 14,1,CO-4,LO-2,0
15,12CS54,1,Why 15,1,CO-4,LO-3,0
16,12CS54,1,Why 16,1,CO-4,LO-4,0
17,12CS54,1,Why 17,1,CO-1,LO-1,0
18,12CS54,1,Why 18,1,CO-1,LO-2,0
19,12CS54,1,Why 19,1,CO-1,LO-3,0
20,12CS54,1,Why 20,1,CO-1,LO-4,0
,,1,,1,CO-2,LO-1,
,,1,,1,CO-2,LO-2,
,,1,,1,CO-2,LO-3,
,,1,,1,CO-2,LO-4,
,,1,,1,CO-3,LO-1,
,,1,,1,CO-3,LO-2,
,,1,,1,CO-3,LO-3,
,,1,,1,CO-3,LO-4,
,,1,,1,CO-4,LO-1,
,,1,,1,CO-4,LO-2,
,,1,,1,CO-4,LO-3,
,,1,,1,CO-4,LO-4,
,,1,,2,CO-1,LO-1,
,,1,,2,CO-1,LO-2,
,,1,,2,CO-1,LO-3,
,,1,,2,CO-1,LO-4,
,,1,,2,CO-2,LO-1,
,,1,,2,CO-2,LO-2,
,,1,,2,CO-2,LO-3,
,,1,,2,CO-2,LO-4,
,,1,,2,CO-3,LO-1,
,,1,,2,CO-3,LO-2,
,,1,,2,CO-3,LO-3,
,,1,,2,CO-3,LO-4,
,,1,,2,CO-4,LO-1,
,,1,,2,CO-4,LO-2,
,,1,,2,CO-4,LO-3,
,,1,,2,CO-4,LO-4,
,,1,,2,CO-1,LO-1,
,,1,,2,CO-1,LO-2,
,,1,,2,CO-1,LO-3,
,,1,,2,CO-1,LO-4,
,,1,,2,CO-2,LO-1,
,,1,,2,CO-2,LO-2,
,,1,,2,CO-2,LO-3,
,,1,,2,CO-2,LO-4,
,,1,,2,CO-3,LO-1,
,,1,,2,CO-3,LO-2,
,,1,,2,CO-3,LO-3,
,,1,,2,CO-3,LO-4,
,,1,,2,CO-4,LO-1,
,,1,,2,CO-4,LO-2,
,,1,,2,CO-4,LO-3,
,,1,,2,CO-4,LO-4,
